what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104026562
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1314104029484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104035250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104037937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104040640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104040640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104058781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104065156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104067515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104072640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104072640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104072656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104097593
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1314104104781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1314104104843
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1314104104843
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1314104107656
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314104107750
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1314104107750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104114718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104175093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104178984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314104644640
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314104648140
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314104689671
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314104689703
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314104689765
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314104689828
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314104729046
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314104889921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105091281
opened,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1314105120531
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1314105120562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105120671
error,log,,,"Problems encountered during text search.",1314105120765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105120765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105127296
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314105131203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105134796
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1314105141093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105141140
error,log,,,"Problems encountered during text search.",1314105141218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105141234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105146578
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314105148078
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314105150656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314105482609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106947515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106956906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106956906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106959093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106971625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106973812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106974687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106978734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106984781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106989812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314106992718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107002953
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314107004812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107007593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107249640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314107249656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110946562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110947828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110947937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110948953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110952875
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314110954593
executed,command,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui.format",1314110964593
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1314110964734
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110605-0747,"org.eclipse.emf.ecore",1314110964750
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1314110965250
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1314110965296
error,log,,,"Exceptions occurred while formatting documents",1314110965671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110965687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110968312
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1314110977531
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1314110977531
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1314110977562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110977656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110980390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110988312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314110995156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314111016281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314111017796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314111027296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314111028593
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314111028812
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1314111028984
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1314111028984
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1314111028984
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1314111028984
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1314111028984
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1314111028984
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1314111028984
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1314111028984
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1314111029000
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1314111029000
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1314111029000
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1314111029000
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1314111029000
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1314111029000
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1314111029000
stopped,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1314111029046
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1314111029046
stopped,bundle,org.eclipse.m2e.core.ui,1.0.0.20110607-2117,"org.eclipse.m2e.core.ui",1314111029046
stopped,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1314111029046
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1314111029046
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1314111029046
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1314111029046
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1314111029046
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1314111029046
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1314111029046
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1314111029046
